,label,category,address,outgoing_txns,incoming_txns,total_eth_sent,avg_eth_sent,total_usd_sent,avg_usd_sent,total_eth_recd,avg_eth_recd,total_usd_recd,avg_usd_recd,active_months,monthly_outgoing_txns,monthly_incoming_txns,monthly_eth_sent,monthly_usd_sent,monthly_eth_recd,monthly_usd_recd,contracts_created,contract_txns_sent,incoming_avg_time_btwn_txns,incoming_std_time_btwn_txns,outgoing_avg_time_btwn_txns,outgoing_std_time_btwn_txns,num_tokens_used,eth_balance,cluster
64,Bibox,Exchange,0xf73c3c65bde10bf26c2e1763104e609a41702efe,161903,119367,1177410.984917689,7.272323459,651199250.0804768,4022.1567857327173,1207242.539978944,10.11370429,666539266.0130091,5583.949215553801,13,12454.076923076924,9182.076923076924,90570.075762899,50092250.00619052,92864.810767611,51272251.23176993,0,0,262.7844361040833,6692.778496439185,194.1519870044841,738.2679132990559,207,22476.28656003,101
65,Decentraland_Wallet,ICO Wallets,0xfe95e04a628087fcdd5f278e61f148b47471af4a,24,5,10160.638940702,423.359955863,5336946.721190347,222372.78004959787,105.9,21.18,69290.098,13858.019600000001,13,1.8461538461538463,0.38461538461538464,781.587610823,410534.36316848826,8.146153846,5330.007538461538,0,0,5736469.75,6436204.735820709,1116064.8260869565,2318152.5799133214,20,43.931999288,4
66,BitJob_Wallet,ICO Wallets,0x537397e3a68584e05e332d2ba75340e37012f50a,57,7,3291.950549764,57.753518417,2345282.426896788,41145.30573503137,834.77887,119.254124286,388264.4818459,55466.354549414296,14,4.071428571428571,0.5,235.139324983,167520.17334977057,59.627062143,27733.177274707145,0,0,3080203.333333334,5329439.155409494,476707.80357142864,962570.1511067208,19,2833.948225024,1
67,LinkerCoin_Wallet,ICO Wallets,0xf7d58e6720696b8f46dc9270443d8beaeb8d9775,11,3091,8645.195329301,785.926848118,4687194.547449546,426108.595222686,14760.06449382,4.775174537,7499703.0762936035,2426.3031628254976,14,0.7857142857142857,220.78571428571428,617.513952093,334799.61053211044,1054.290320987,535693.0768781145,0,0,3430.7847896440135,36900.16739287905,1431501.0000000002,3054900.085030605,15,6114.845046342,1
68,Credits_MultiSig,ICO Wallets,0x7c27f68b0d5afffb668da3e046adfba6ea1f6bc3,146,17,10448.622,71.56590411,5141223.178260001,35213.857385342446,6955.49,409.146470588,2357347.2610000004,138667.48594117645,14,10.428571428571429,1.2142857142857142,746.330142857,367230.2270185715,496.820714286,168381.94721428576,0,0,1114189.375,1140699.7517261573,222806.20689655162,283565.98364754295,18,580.364525975,1
69,BigONE_2,Exchange,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,51831,2880,604662.82149981,11.666045832,465739842.5687984,8985.73908604499,633208.765826299,219.864154801,509982208.8087987,177077.1558363887,15,3455.4,192.0,40310.854766654,31049322.837919895,42213.917721753,33998813.92058658,0,0,11318.529350468913,115429.31935858226,700.2893305035699,23258.894463451783,279,8761.294943221,101
70,HOQU_Wallet,ICO Wallets,0x8c097a9c954894c8779edef955398d6b8ea7226a,151,20,14435.543956969,95.599628854,11070622.420068253,73315.38026535262,9589.600396764,479.480019838,2022684.96506034,101134.248253017,15,10.066666666666666,1.3333333333333333,962.369597131,738041.4946712168,639.306693118,134845.664337356,0,0,1395363.5789473685,5366353.86683569,204069.55333333343,608635.23806674,16,13947.836312013,1
71,Kucoin,Exchange,0x2b5634c42055806a59e9107ed44d43c426e58258,682758,483626,2641456.697848573,3.868803731,1797181022.9972794,2632.237224606259,2646125.886883393,5.471430169,1810679927.5123243,3743.967296035318,15,45517.2,32241.733333333334,176097.113189905,119812068.19981863,176408.392458893,120711995.16748829,0,0,74.77770793486691,2595.204371612334,53.24170825051961,465.8191333834583,315,5047.223795027,101
72,Monetha_Wallet,ICO Wallets,0x00832a758a781055ac19b5f9bf553db8bb9db32d,48,4,37817.05711,787.855356458,21183944.799081597,441332.1833141999,6.66832736,1.66708184,2019.9699050703998,504.9924762676,16,3.0,0.25,2363.566069375,1323996.5499425998,0.41677046,126.24811906689999,0,0,3611279.0,3442216.149542472,557426.9787234043,790121.0100125689,47,57189.572080357,4
73,Tierion_Wallet2,ICO Wallets,0xad54edbe26782a7c190eabc0b35869b0e66ffcce,24,5,46478.4,1936.6,29979114.009900004,1249129.7504125,51478.138577919,10295.627715584,16991093.072943125,3398218.6145886243,16,1.5,0.3125,2904.9,1873694.6256187502,3217.38366112,1061943.3170589453,0,0,371178.0,451648.6124861524,1438475.304347826,4103081.461110301,33,4999.723457919,1
